text,label
Who was the inventor of silly putty ?,3
What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,3
Which college did Dikembe Mutombo play basketball for ?,3
What woman pitcher has struck out Ted Williams and Hank Aaron ?,3
"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?",3
What are the top ten all-time money making NFL teams ?,3
Name the Four Horsemen of the Apocalypse .,3
"What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?",3
Name the organization that is presided by a Security Council .,3
What company markets a shampoo `` for brunettes only '' ?,3
What robust U.S. President imported his own instructor after seeing a judo match ?,3
What company has built more than 2.5 billion little green houses since 1935 ?,3
Who invented the stock ticker in 1870 ?,3
Name a South African diamond producer ?,3
Name Pittsburgh 's baseball team .,3
Who is the prophet that is most connected to the Dead Sea ?,3
Who was chief engineer of the Starship Enterprise ?,3
Who is the director of intergovernmental affairs for the San Diego county ?,3
Who is the director and editor of the movie Big starring Tom Hanks ?,3
"What member of The Little Rascals has an on-again , off-again sweetheart in Darla Hood ?",3
Who owns CNN ?,3
What is Nicholas Cage 's profession ?,3
Who were the 1974 Oscar winners ?,3
Who is the fastest guitarist ?,3
Who wrote Sons and Lovers ?,3
What Pope inaugurated Vatican International Radio ?,3
Who were leaders of the Byzantine empire ?,3
Who plays the cop in the movie `` Kindergarten Cop '' ?,3
What president also became a supreme court justice ?,3
Who wrote NN DT NNP NNP '' ?,3
What was Mao 's second name ?,3
Who was the first actress to appear on a postage stamp ?,3
Who is the nebbish that is Marvel 's official mascot ?,3
Who portrayed the title character in the film The Day of the Jackal ?,3
How many Russians have landed on the moon ?,4
What 's the American dollar equivalent for 8 pounds in the U.K. ?,4
"What is the mean income of the top 10% , top 5% , and top 1% ?",4
How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?,4
How many cherubs are there on a Trivial Pursuit board ?,4
How many Superbowls have the ers won ?,4
What 's the American dollar equivalent for 8 pounds in the U.K. ?,4
How many sides does an obelisk have ?,4
Hitler came to power in Germany in what year ?,4
How many blacks served in the Vietnam War,4
How long does it take to hike the entire Appalachian Trail ?,4
How many people die from snakebite poisoning in the U.S. per year ?,4
What 's the score of a forfeited baseball game ?,4
How many revolutions does a standard LP make in three minutes ?,4
When was the last major eruption of Mount St. Helens ?,4
How many people did Randy Steven Craft murder ?,4
How much Coca Cola is drunk in one day in the world ?,4
What is the normal resting heart rate of a healthy adult ?,4
How many visitors go to the Vatican each year ?,4
What was Einstein 's IQ ?,4
How many miles of corridors are in The Pentagon ?,4
How many people die from tuberculosis each year ?,4
How long does it take the typical hen to lay 19 dozen eggs ?,4
How many calories are in a tomato ?,4
How many states have a lottery ?,4
What was Einstein 's IQ ?,4
How long do you have to pay back debt after claiming chapter 11 bankruptcy ?,4
How tall is Prince Charles ?,4
How many gallons of paint does it take to paint the Golden Gate Bridge ?,4
What chapter of the Bible has the most verses ?,4
"When did Aldous Huxley write , `` Brave New World '' ?",4
How many shots can a stock M16 hold ?,4
How deep is a fathom ?,4
How many milligrams are in a gram ?,4
How many small businesses are there in the U.S .,4
How tall was the animated Frankenstein,4
What 's men 's par on a 455-yard golf hole ?,4
When did World War I start ?,4
What is the average time to kiss somene ?,4
The Olympic Games in which year allowed Nadia Comaneci to become popular ?,4
How much pizza do Americans eat in a day ?,4
How many cables support the main span of the Golden Gate Bridge ?,4
How many electoral votes does it take to win presidency ?,4
"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?",4
What year did Jack Nicklaus join the Professional Golfers Association tour ?,4
How many electoral college votes does Colorado have ?,4
How old is Britney Spears ?,4
What 's the Fahrenheit equivalent of zero degrees centigrade ?,4
How many rings are there on a five-zone archery target ?,4
How many miles of veins are in the circulatory system ?,4
How many islands does Fiji have ?,4
What is the population of Kansas ?,4
What is the population of Japan ?,4
What year was the first automobile manufactured ?,4
What year did Hitler die ?,4
What is the probability that at least 2 out of 25 people will have the same birthday ?,4
How many rows of sprocket holes does a roll of 35-millimeter film have ?,4
How many times a day does the typical person go to the bathroom ?,4
How many websites are there in the world ?,4
How many calories are there in a glass of water ?,4
How much time does the blinking of an eye take ?,4
"What is the population of Arcadia , Florida ?",4
How many Grammys did Michael Jackson win in 1983 ?,4
What is the salary of a U.S. Representative ?,4
How many bones are there in the human hand ?,4
How many years ago did Led Zeppelin release its last album ?,4
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",4
How long do cardinal eggs incubate ?,4
How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?,4
How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?,4
When was the first practical commercial typewriter marketed ?,4
How many colored squares are there on a Rubik 's Cube ?,4
What is the chemical reactivity of neon ?,4
What time of day did Emperor Hirohito die ?,4
How many wives did Brigham Young have ?,4
How big is Australia ?,4
When does menstruation begin ?,4
How many children under 18 are victims of some sort of Physical Abuse each year ?,4
What is the death toll of people dying from tuberculosis ?,4
How many milliseconds in a second ?,4
What are the odds of giving birth to twins ?,4
How far can you see ?,4
How much did Varian Associates try to sell its vacuum products division to the BOC group for ?,4
What is the chemical reactivity of argon ?,4
How many rows of whiskers does a cat have ?,4
"What is the latitude and longitude of El Paso , Texas ?",4
What is the price for tuberculosis drugs ?,4
When was Richard Nixon born ?,4
How many lakes are there on the Earth ?,4
How many earthworms are in a single pasture ?,4
What is the Homelite Inc. home page ?,5
Where is Webster University ?,5
"In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?",5
Where is Los Vegas ?,5
Where can I find the history of the Hungarian language ?,5
What Asian country has a bill of rights for cows ?,5
What Kenyan city is the safari center for East Africa ?,5
What erupts every hour at Yellowstone National Park ?,5
Where can I buy a good snowboard for less than $200 ?,5
"What is the most important nation in the world , historically ?",5
What South American country won its first World Cup soccer title in 1978 ?,5
What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?,5
What island group is Guadalcanal a part of ?,5
Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,5
What New England state covers 5.9 square miles ?,5
Where is the Kentucky Horse Park located ?,5
"What country has the most time zones , with 11 ?",5
What capital is built around Monument Circle which contains soldiers and sailors monument ?,5
Where did the Battle of the Bulge take place ?,5
What city is the Kentucky Horse Park near ?,5
Jackson Pollock is of what nationality ?,5
Where is the Abominable Snowman said to wander ?,5
What are the three most populated countries in the world ?,5
What city has the two steepest streets in the U.S. ?,5
Where is `` Global Schoolhouse '' ?,5
What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?,5
What are the 10 largest cities in the US ?,5
"What U.S. state boasts Stone Mountain , the world 's largest mass of exposed granite ?",5
Where are the Haversian canals ?,5
Where does the U.S. get most of its energy ?,5
What 's the only East european country not tied to the ruble ?,5
What is the tallest mountain ?,5
"What European capital celebrated its 2 , 000th anniversary in 1951 ?",5
Where do people mountain climb in Nepal ?,5
What were the cities of Dickens 's A Tale of Two Cities ?,5
What city 's the kickoff point for climbs of Mount Everest ?,5
Where can one find Rider College ?,5
Where is the location of the Orange Bowl ?,5
Which area produces the least acidic coffee ?,5
Where is Mile High Stadium ?,5
Where can I find a website that gives comparisons of good prices ?,5
What country has declared one-fifth of its territory off-limits to Russians ?,5
What is Drew Barrymore 's email address ?,5
What 's the capital of Taiwan ?,5
"What is the best place to live in the world , considering climate , civilization ?",5
What building are British monarchs crowned in ?,5
What nationality was Jackson Pollock ?,5
Where can I get mailing lists ?,5
What U.S. state does the Continental Divide leave to enter Canada ?,5
Name the country which Honecker lived in .,5
What is the seafaring name for the southern tip of South America ?,5
The Orange Bowl is in what city ?,5
What is the world 's highest peak ?,5
What country borders Denmark to the south ?,5
Where is the Taj Mahal ?,5
What attracts tourists to Reims ?,5
Where can I look at a perpetual calendar ?,5
What is the largest natural lake in Pennsylvania ?,5
Where is the Loop ?,5
Where can an individual get a contact lens tested that burned the entire surface of eye when new ?,5
Where can I find a lesson plan for teaching the metric system conversion to American standard ?,5
Where is Belize located ?,5
What planet gave bith to Superman ?,5
What is the leading pecan and peanut growing state ?,5
What U.S. city is known as The Rubber Capital of the World ?,5
What sea is Bombay on ?,5
What state has the most Indians ?,5
What country did the ancient Romans refer to as Hibernia ?,5
What 's the name of a hotel in Indianapolis ?,5
What is the capital of Burkina Faso ?,5
"What California bridge was Don Brown the first to cross , on May 27 , 1937 ?",5
What are the largest breweries in the world ?,5
What country was Mikhail Gorbachev the leader of ?,5
What is the largest island in the Mediterranean Sea ?,5
What country was the setting of You Only Live Twice ?,5
What country are you visiting if you land at President Duvalier Airport ?,5
What is the address of the famous Mexican star `` Thalia '' ?,5
Where do you find the answers for all these questions ?,5
Where is Natick ?,5
Where can I get a complete listing of showtimes in my area ?,5
What nation boarders Mozambique ?,5
Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,5
What U.S. city was named for St. Francis of Assisi ?,5
On which Hawaiian island is Pearl Harbor ?,5
What is the C programming language ?,0
How do you get a pointsettia to turn red ?,0
How can someone become a federal agent ?,0
How can I find out what year a Beanie Baby was introduced ?,0
What is Head Start ?,0
What is a firewall ?,0
What does hazmat stand for ?,0
What does `` E Pluribus Unum '' on the penny mean ?,0
What is a Jake brake ?,0
What does Inuit and Eskimo mean ?,0
What is the HIGHEST Roman numeral ?,0
How do anti-locking brakes work ?,0
What is the difference between a median and a mean ?,0
Why did David Koresh ask the FBI for a word processor ?,0
What is paracetamol ?,0
What is the contents of proposition 98 ?,0
What is a First World country ?,0
What is the origin of gametophytic tissue ?,0
How do I get my LAN card activated so that it can hook up to another computer without using a HUB ?,0
"What are the words to the cd Eminem 's , or slim shady , `` My Name Is '' ?",0
What are the distinct physical characterstics of the Arabian horse ?,0
What does the word terrorism mean ?,0
What is time ?,0
What 's the state motto of California ?,0
What happened to Pompeii ?,0
What does N est-ce pas mean ?,0
What kind of greeting is appropriate to send on Yom Kippur ?,0
What is main reason for that electric vehicles can 't be popular nowadays ?,0
What is `` flintknapping '' ?,0
What is tumbled marble ?,0
What does `` Janelle '' mean ?,0
What is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?,0
What is Jane Goodall famous for ?,0
What does the name Billie mean ?,0
What is the nature of learning ?,0
How did names come about ?,0
What does appropriates money mean ?,0
"Why was Henry Ford 's first automobile calleda Model T & his second type of automobile , introduced in 1928 , called a Model A ?",0
How do I find the balance of my social security account ?,0
What is the difference between fatalism and determinism ?,0
Why do the chickenpoxs last so long ?,0
What is the proof that houseplants metabolize carcinogens ?,0
What is an aortic abdominal aneurysm ?,0
What 's distinctive about a palmiped 's feet ?,0
What is a dangling participle ?,0
What is the history of Valentine 's Day cards ?,0
"What is the history of Hot Wheels cars , and how are they produced ?",0
What is the origin of a.m. and p.m. ?,0
What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,0
What is the difference between optical and digital video ?,0
Why do they sterilize the needle for lethal injection ?,0
For what reason did the Shea & Gould law firm close their L.A. office ?,0
What is the origin of the ethnic category `` caucasian '' ?,0
How do you convert foot-pounds to foot-inches ?,0
What is the AIM-54C Phoenix ?,0
What is the Milky Way ?,0
Where did the term `` 69 '' come from ?,0
"What did FCC chairman Newton Minow declare TV to be on May 9 , 1961 ?",0
Colin Powell is best known for what achievement ?,0
What is thermal equilibrium ?,0
Why do airliners crash vs. gliding down ?,0
What steps can be taken to prevent diabetes ?,0
What is the origin of the word `` sideburns '' ?,0
What does Elysium mean ?,0
What is meant by `` capital market '' ?,0
What is the nursery rhyme Rock-a-by Baby about ?,0
How is Easter Sunday 's date determined ?,0
What are pomegranates ?,0
How can I find out my Moon sign ?,0
What 's the last line of Dickens 's A Christmas Carol ?,0
What does the word `` meta '' mean ?,0
What are the Baltic States ?,0
Describe the Finnish music personality Salonen 's appearance .,0
How does James Bond like his martinis ?,0
How does a bill become law ?,0
What do insects do through their spiracles ?,0
What features of the African elephant are larger than those of the Indian elephant ?,0
How is the election of a new Pope announced to the world ?,0
"What is deadrise , nautical , ?",0
Why is it called `` hamburger '' if there is no ham in it ?,0
How can I call a friend in another country when I do not know the telephone number ?,0
What does `` Philebus-like '' mean ?,0
What is probability theory ?,0
Why are electric cars less efficient in the northeast than in California ?,0
What does `` Semper Fidelis '' mean ?,0
How do I write to my Congressman ?,0
What is office automation ?,0
How did the Hohenzollerns build their power around 17 ?,0
What was the infamous feat of Germany 's U-2 submarine ?,0
How does a parachute work ?,0
What is a turnkey contract ?,0
What is the difference between a classical and an acoustic guitar ?,0
How is the element strontium purified ?,0
How can I find a phone number of someone if I only know their email address ?,0
What is Eagle 's syndrome styloid process ?,0
What is a portal ?,0
What is the purpose of the SysRq key on my computer keyboard ?,0
What was the V-8 Juice slogan : `` the tastebud '' ?,0
How did the 7th inning stretch get started ?,0
What did the only repealed amendment to the U.S. Constitution deal with ?,0
What is the recommended daily requirement for folic acid for pregnant women ?,0
What is the difference between microprocessors & microcontrollers ?,0
How does an abacus work ?,0
Why are peanut butter cookies topped with crisscrosses ?,0
How do I know how much money to save for retirement ?,0
What was the claim to fame of King Camp Gillette ?,0
How did the war of 1812 affect Delaware ?,0
How can I register my website in Yahoo for free ?,0
What does the word affiant mean ?,0
How do you clean badly tarnished brass ?,0
How do clouds form ?,0
What is an annotated bibliography ?,0
"In the song `` Yankee Doodle , '' why did Yankee Doodle stick a feather in his cap and call it macaroni ?",0
What is the Hub of London ?,0
How do you get to the top of the Eiffel Tower ?,0
What is the hair style called that new military recruits receive ?,0
What is Shalom ?,0
What are the words to `` My Way '' written by Paul Anka ?,0
How do you identify prime numbers ?,0
What are the requirements for becoming a citizen of Australia ?,0
What 's the motto of the Boy Scouts ?,0
What was the filling in the first golf balls ?,0
What is `` alternative '' anymore ?,0
What makes sperm ?,0
What is the Lost Colony ?,0
What caused an adjournment of the 25th anniversary session of the United Nations General Assembly ?,0
How do I find out what cities are in a certain area code ?,0
What is a hyperlink ?,0
What will a compass do in outer space ?,0
What is deconstructionism ?,0
What is Australia Day ?,0
What do the figures represent on the Easter Island ?,0
What is `` snoogans '' ?,0
What did n't Rocky Marciano do in his pro boxing career ?,0
Why is Microsoft 's Windows 3 software so successful ?,0
What is hydrogen ?,0
How does the chain of command work inside an US army Apache helicopter ?,0
What will happen when sodium is put in water ?,0
What causes headaches ?,0
How do they raise the cranes when building high-rise buildings ?,0
Why does it say on children 's cough syrup not to drive while using this medication ?,0
What is the origin of `` jiggy '' as in getting jiggy with it ?,0
"In Waugh 's `` A Handful of Dust , '' what does the mad old man force the hero to do every afternoon ?",0
What does gringo mean ?,0
What is graduate school ?,0
Colin Powell is famous for what ?,0
How do I legally make my own will and testament ?,0
How do chickens have baby chicks ?,0
What is a ` borrow pit ' ?,0
What is diabetes ?,0
What is a drought ?,0
How can I easily remove red wine stains from t-shirts ?,0
How do websites like Yahoo and Excite make money ?,0
How do they get Teflon to stick to the pan ?,0
What are hook worms ?,0
What are people doing to help prevent the extinction of birds ?,0
What is literary criticism ?,0
What causes canker sores in the mouth ?,0
What ever happened to the once popular Yale Lock Company ?,0
What is a glory hole ?,0
How did ` stat ' come to be used as an expression for quickly ?,0
What does `` saute '' mean ?,0
What are Bellworts ?,0
What do I have to do to get good grades in school ?,0
How is the word ` qigong ' pronounced ?,0
What is the history of yo-yos ?,0
What is the meaning of the name Ella ?,0
Hazmat stands for what ?,0
What is the definition of spamming ?,0
What do you do when your mouse is n't working as fast as it 's supposed to ?,0
What is the medical condition of hypertension ?,0
Why is the development of space so important ?,0
What did Lenny Bruce say that got him arrested ?,0
What is a transistor ?,0
What are the seven virtues ?,0
What are differences between 1980 and 1990 ?,0
How do fuel injectors work ?,0
What is hypertext ?,0
What is habeas corpus ?,0
How did the Great Depression affect Japan 's history ?,0
What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,0
What is the text of the Fifth Amendment ?,0
How do I get another city 's newspaper ?,0
What does palindromic mean ?,0
What is a urologist ?,0
What 's the proud claim to fame of the young women who formed Kappa Alpha Theta ?,0
What does an echidna look like ?,0
How does lightning travel ?,0
What effect does LSD have on the brain ?,0
What is the nature of snow and how is the formation of snow different from that of ice ?,0
How you can raise your IQ ?,0
"What is the 401 , K , plan ?",0
What is the function of the appendix ?,0
What incident caused the canning of a summit conference between Eisenhower and Khrushchev ?,0
What is hebephrenia ?,0
What was the Vietnam War ?,0
What happened during the Blackhawk Indian war of 1832 ?,0
What is the difference between a fruit and a vegetable ?,0
Where did marijuana come from ?,0
"How can I find online spelling , and punctuation drills for my 6th grader ?",0
What 's the difference between J.D. and LL.M. ?,0
What are the side effects of mevacor ?,0
How do I do this ?,0
How did Bob Marley die ?,0
How does a scientific calculator work ?,0
What is the origin of music ?,0
What are some children 's rights ?,0
What do pointed letters mean to a handwriting analyst ?,0
What effect does a prism have on light ?,0
How come light bulbs go out ?,0
What is barnstorming ?,0
What 's new in the postal world in 1999 ?,0
What did the Confederate Constitution say about slavery ?,0
What causes the body to shiver in cold temperatures ?,0
What information can you get me on Fairground Park in St. Louis,0
Why do people get calluses ?,0
Where did the name root beer come from ?,0
What will the weather be today ?,0
Why are there olives in martinis ?,0
What is a pig in a poke ?,0
How can a foreigner get a U.S. Social Security card ?,0
How do you select wine ?,0
What is the Kashmir issue ?,0
